VARIABLES = "x","y","omega_nondim","k_nondim"
ZONE T="CFL3D, x=29.2468"
 2.924682808E+01 5.838539600E-01 4.687949058E-06 1.710539917E-03
 2.924682808E+01 5.894370079E-01 4.682225608E-06 1.710765297E-03
 2.924682808E+01 5.950158238E-01 4.676145636E-06 1.710759127E-03
 2.924682808E+01 6.005902886E-01 4.669714144E-06 1.710523269E-03
 2.924682808E+01 6.061604023E-01 4.662935225E-06 1.710059470E-03
 2.924682808E+01 6.117261052E-01 4.655814337E-06 1.709369826E-03
 2.924682808E+01 6.172873378E-01 4.648355116E-06 1.708456199E-03
 2.924682808E+01 6.228439212E-01 4.640562565E-06 1.707320684E-03
 2.924682808E+01 6.283959150E-01 4.632441232E-06 1.705965493E-03
 2.924682808E+01 6.339432597E-01 4.623995665E-06 1.704392605E-03
 2.924682808E+01 6.394858360E-01 4.615229955E-06 1.702604350E-03
 2.924682808E+01 6.450235844E-01 4.606149105E-06 1.700602937E-03
 2.924682808E+01 6.505565047E-01 4.596757208E-06 1.698390697E-03
 2.924682808E+01 6.560845375E-01 4.587058356E-06 1.695969957E-03
 2.924682808E+01 6.616075039E-01 4.577058007E-06 1.693342929E-03
 2.924682808E+01 6.671254635E-01 4.566759799E-06 1.690512174E-03
 2.924682808E+01 6.726383567E-01 4.556168278E-06 1.687480137E-03
 2.924682808E+01 6.781460643E-01 4.545287538E-06 1.684249146E-03
 2.924682808E+01 6.836485863E-01 4.534122127E-06 1.680821879E-03
 2.924682808E+01 6.891458631E-01 4.522676136E-06 1.677200780E-03
 2.924682808E+01 6.946377754E-01 4.510954113E-06 1.673388295E-03
 2.924682808E+01 7.000490427E-01 4.499125680E-06 1.669443212E-03
 2.924682808E+01 7.053806782E-01 4.487204023E-06 1.665374846E-03
 2.924682808E+01 7.106338739E-01 4.475201422E-06 1.661192160E-03
 2.924682808E+01 7.158097029E-01 4.463129244E-06 1.656903769E-03
 2.924682808E+01 7.209092975E-01 4.450998404E-06 1.652517705E-03
 2.924682808E+01 7.259336114E-01 4.438819360E-06 1.648042118E-03
 2.924682808E+01 7.308837175E-01 4.426602118E-06 1.643484225E-03
 2.924682808E+01 7.357606888E-01 4.414355772E-06 1.638851361E-03
 2.924682808E+01 7.405655980E-01 4.402089417E-06 1.634150161E-03
 2.924682808E+01 7.452993393E-01 4.389810783E-06 1.629387378E-03
 2.924682808E+01 7.499630451E-01 4.377528512E-06 1.624568948E-03
 2.924682808E+01 7.545576096E-01 4.365248969E-06 1.619700808E-03
 2.924682808E+01 7.590839863E-01 4.352980795E-06 1.614788896E-03
 2.924682808E+01 7.635432482E-01 4.340728992E-06 1.609838218E-03
 2.924682808E+01 7.679362893E-01 4.328501291E-06 1.604854013E-03
 2.924682808E+01 7.722640038E-01 4.316302693E-06 1.599841169E-03
 2.924682808E+01 7.765273452E-01 4.304139111E-06 1.594804227E-03
 2.924682808E+01 7.807272077E-01 4.292016001E-06 1.589747611E-03
 2.924682808E+01 7.848646045E-01 4.279937457E-06 1.584675396E-03
 2.924682808E+01 7.889402509E-01 4.267909389E-06 1.579591655E-03
 2.924682999E+01 7.929551005E-01 4.255934982E-06 1.574500115E-03
 2.924682999E+01 7.969100475E-01 4.244019692E-06 1.569404267E-03
 2.924682999E+01 8.008058667E-01 4.232166248E-06 1.564307488E-03
 2.924682999E+01 8.046435118E-01 4.220379196E-06 1.559213037E-03
 2.924682999E+01 8.084237576E-01 4.208660812E-06 1.554123708E-03
 2.924682999E+01 8.121473789E-01 4.197014732E-06 1.549042645E-03
 2.924682999E+01 8.158152699E-01 4.185444595E-06 1.543972292E-03
 2.924682999E+01 8.194280863E-01 4.173952675E-06 1.538915443E-03
 2.924682999E+01 8.229868412E-01 4.162540790E-06 1.533874078E-03
 2.924682999E+01 8.264921308E-01 4.151212124E-06 1.528850757E-03
 2.924682999E+01 8.299447298E-01 4.139968951E-06 1.523847692E-03
 2.924682999E+01 8.333454132E-01 4.128813089E-06 1.518866746E-03
 2.924682999E+01 8.366950154E-01 4.117746357E-06 1.513909665E-03
 2.924682999E+01 8.399940729E-01 4.106771030E-06 1.508978545E-03
 2.924682999E+01 8.432435989E-01 4.095887562E-06 1.504074549E-03
 2.924682999E+01 8.464440107E-01 4.085098681E-06 1.499199658E-03
 2.924682999E+01 8.495962024E-01 4.074404842E-06 1.494355150E-03
 2.924682999E+01 8.527007103E-01 4.063807864E-06 1.489542425E-03
 2.924682999E+01 8.557584286E-01 4.053307748E-06 1.484762644E-03
 2.924682999E+01 8.587698936E-01 4.042906312E-06 1.480016974E-03
 2.924682999E+01 8.617358804E-01 4.032604465E-06 1.475306461E-03
 2.924682999E+01 8.646569252E-01 4.022402663E-06 1.470632269E-03
 2.924682999E+01 8.675336838E-01 4.012301815E-06 1.465995214E-03
 2.924682999E+01 8.703668714E-01 4.002301921E-06 1.461396227E-03
 2.924682999E+01 8.731570840E-01 3.992404345E-06 1.456836006E-03
 2.924682999E+01 8.759049177E-01 3.982609087E-06 1.452315366E-03
 2.924682999E+01 8.786110878E-01 3.972916147E-06 1.447834773E-03
 2.924682999E+01 8.812760115E-01 3.963325980E-06 1.443395042E-03
 2.924682999E+01 8.839004636E-01 3.953839041E-06 1.438996522E-03
 2.924682999E+01 8.864849806E-01 3.944455329E-06 1.434639795E-03
 2.924682999E+01 8.890300989E-01 3.935174846E-06 1.430325443E-03
 2.924682999E+01 8.915364146E-01 3.925997589E-06 1.426053583E-03
 2.924682999E+01 8.940044641E-01 3.916923106E-06 1.421824796E-03
 2.924682999E+01 8.964349031E-01 3.907951850E-06 1.417639083E-03
 2.924682999E+01 8.988281488E-01 3.899083367E-06 1.413497026E-03
 2.924682999E+01 9.011847973E-01 3.890317203E-06 1.409398741E-03
 2.924682999E+01 9.035054445E-01 3.881653356E-06 1.405344112E-03
 2.924682999E+01 9.057905078E-01 3.873092282E-06 1.401333720E-03
 2.924682999E+01 9.080405831E-01 3.864632163E-06 1.397367218E-03
 2.924682999E+01 9.102561474E-01 3.856273452E-06 1.393445069E-03
 2.924682999E+01 9.124376774E-01 3.848015695E-06 1.389567158E-03
 2.924682999E+01 9.145857692E-01 3.839857982E-06 1.385733485E-03
 2.924682999E+01 9.167007804E-01 3.831800768E-06 1.381944050E-03
 2.924682999E+01 9.187832475E-01 3.823842690E-06 1.378198853E-03
 2.924682999E+01 9.208336473E-01 3.815983746E-06 1.374497893E-03
 2.924682999E+01 9.228524566E-01 3.808222800E-06 1.370840939E-03
 2.924682999E+01 9.248401523E-01 3.800559625E-06 1.367227989E-03
 2.924682999E+01 9.267970920E-01 3.792993766E-06 1.363658928E-03
 2.924682999E+01 9.287239313E-01 3.785523631E-06 1.360133290E-03
 2.924682999E+01 9.306208491E-01 3.778150131E-06 1.356651424E-03
 2.924682999E+01 9.324885011E-01 3.770871217E-06 1.353212749E-03
 2.924682999E+01 9.343271852E-01 3.763686664E-06 1.349817263E-03
 2.924682999E+01 9.361373782E-01 3.756595788E-06 1.346464735E-03
 2.924682999E+01 9.379194975E-01 3.749598136E-06 1.343154814E-03
 2.924682999E+01 9.396739602E-01 3.742692343E-06 1.339887385E-03
 2.924682999E+01 9.414011240E-01 3.735878408E-06 1.336662215E-03
 2.924682999E+01 9.431014657E-01 3.729154969E-06 1.333478955E-03
 2.924682999E+01 9.447753429E-01 3.722521114E-06 1.330337254E-03
 2.924682999E+01 9.464231133E-01 3.715976845E-06 1.327236998E-03
 2.924682999E+01 9.480452538E-01 3.709520570E-06 1.324177720E-03
 2.924682999E+01 9.496420026E-01 3.703151833E-06 1.321159420E-03
 2.924682999E+01 9.512139559E-01 3.696869271E-06 1.318181166E-03
 2.924682999E+01 9.527612329E-01 3.690673111E-06 1.315243426E-03
 2.924682999E+01 9.542842507E-01 3.684562216E-06 1.312345499E-03
 2.924682999E+01 9.557834864E-01 3.678535450E-06 1.309486921E-03
 2.924682999E+01 9.572591782E-01 3.672592129E-06 1.306667575E-03
 2.924682999E+01 9.587117434E-01 3.666731118E-06 1.303886995E-03
 2.924682999E+01 9.601414800E-01 3.660951961E-06 1.301144832E-03
 2.924682999E+01 9.615487456E-01 3.655253749E-06 1.298440853E-03
 2.924682999E+01 9.629338980E-01 3.649635346E-06 1.295774477E-03
 2.924682999E+01 9.642971754E-01 3.644096523E-06 1.293145702E-03
 2.924682999E+01 9.656389952E-01 3.638635917E-06 1.290553948E-03
 2.924682999E+01 9.669596553E-01 3.633252618E-06 1.287998632E-03
 2.924682999E+01 9.682593942E-01 3.627946398E-06 1.285479870E-03
 2.924682999E+01 9.695386291E-01 3.622715894E-06 1.282996847E-03
 2.924682999E+01 9.707975984E-01 3.617560196E-06 1.280549564E-03
 2.924682999E+01 9.720366001E-01 3.612479077E-06 1.278137555E-03
 2.924682999E+01 9.732559919E-01 3.607470944E-06 1.275760122E-03
 2.924682999E+01 9.744559526E-01 3.602535571E-06 1.273417380E-03
 2.924682999E+01 9.756368399E-01 3.597672048E-06 1.271108747E-03
 2.924682999E+01 9.767989516E-01 3.592879239E-06 1.268833643E-03
 2.924682999E+01 9.779425263E-01 3.588156460E-06 1.266592066E-03
 2.924682999E+01 9.790679216E-01 3.583502803E-06 1.264383318E-03
 2.924682999E+01 9.801752567E-01 3.578917813E-06 1.262207283E-03
 2.924682999E+01 9.812649488E-01 3.574400125E-06 1.260063378E-03
 2.924682999E+01 9.823371768E-01 3.569949740E-06 1.257951488E-03
 2.924682999E+01 9.833921790E-01 3.565565066E-06 1.255871146E-03
 2.924682999E+01 9.844302535E-01 3.561245876E-06 1.253821887E-03
 2.924682999E+01 9.854517579E-01 3.556990578E-06 1.251803245E-03
 2.924682999E+01 9.864567518E-01 3.552799399E-06 1.249815105E-03
 2.924682999E+01 9.874455929E-01 3.548670747E-06 1.247856999E-03
 2.924682999E+01 9.884184599E-01 3.544604624E-06 1.245928579E-03
 2.924682999E+01 9.893756509E-01 3.540599437E-06 1.244029379E-03
 2.924682999E+01 9.903173447E-01 3.536654731E-06 1.242159284E-03
 2.924682999E+01 9.912438393E-01 3.532770052E-06 1.240317710E-03
 2.924682999E+01 9.921552539E-01 3.528944490E-06 1.238504541E-03
 2.924682999E+01 9.930518866E-01 3.525177135E-06 1.236719196E-03
 2.924682999E+01 9.939339757E-01 3.521467306E-06 1.234961441E-03
 2.924682999E+01 9.948017001E-01 3.517814321E-06 1.233230811E-03
 2.924682999E+01 9.956552982E-01 3.514217497E-06 1.231527072E-03
 2.924682999E+01 9.964950085E-01 3.510675697E-06 1.229849760E-03
 2.924682999E+01 9.973208904E-01 3.507188922E-06 1.228198875E-03
 2.924682999E+01 9.981333613E-01 3.503756034E-06 1.226573717E-03
 2.924682999E+01 9.989324808E-01 3.500376351E-06 1.224974054E-03
 2.924682999E+01 9.997184873E-01 3.497049192E-06 1.223399537E-03
 2.924682999E+01 1.000491500E+00 3.493774102E-06 1.221850165E-03
 2.924682999E+01 1.001251936E+00 3.490549943E-06 1.220325008E-03
 2.924682999E+01 1.001999736E+00 3.487376489E-06 1.218824298E-03
 2.924682999E+01 1.002735257E+00 3.484252602E-06 1.217347337E-03
 2.924682999E+01 1.003471375E+00 3.481123940E-06 1.215868280E-03
 2.924682999E+01 1.004227161E+00 3.477909104E-06 1.214348944E-03
 2.924682999E+01 1.005003214E+00 3.474605364E-06 1.212787931E-03
 2.924682999E+01 1.005800247E+00 3.471209766E-06 1.211183844E-03
 2.924682999E+01 1.006619096E+00 3.467718216E-06 1.209534705E-03
 2.924682999E+01 1.007460237E+00 3.464128895E-06 1.207839698E-03
 2.924682999E+01 1.008324623E+00 3.460437483E-06 1.206096844E-03
 2.924682999E+01 1.009212971E+00 3.456640115E-06 1.204304397E-03
 2.924682999E+01 1.010126352E+00 3.452732699E-06 1.202460262E-03
 2.924682999E+01 1.011065245E+00 3.448712732E-06 1.200563391E-03
 2.924682999E+01 1.012030721E+00 3.444575214E-06 1.198611222E-03
 2.924682999E+01 1.013023734E+00 3.440315822E-06 1.196602127E-03
 2.924682999E+01 1.014045238E+00 3.435930466E-06 1.194533776E-03
 2.924682999E+01 1.015096068E+00 3.431414825E-06 1.192404423E-03
 2.924682999E+01 1.016177177E+00 3.426764579E-06 1.190211973E-03
 2.924682999E+01 1.017289758E+00 3.421974498E-06 1.187953982E-03
 2.924682999E+01 1.018434882E+00 3.417039579E-06 1.185628003E-03
 2.924682999E+01 1.019613743E+00 3.411954367E-06 1.183231710E-03
 2.924682999E+01 1.020827293E+00 3.406714086E-06 1.180762658E-03
 2.924682999E+01 1.022076726E+00 3.401313506E-06 1.178218517E-03
 2.924682999E+01 1.023363590E+00 3.395745352E-06 1.175595797E-03
 2.924682999E+01 1.024688840E+00 3.390005077E-06 1.172892516E-03
 2.924682999E+01 1.026053905E+00 3.384085858E-06 1.170105417E-03
 2.924682999E+01 1.027459979E+00 3.377982239E-06 1.167232054E-03
 2.924682999E+01 1.028908730E+00 3.371686262E-06 1.164268586E-03
 2.924682999E+01 1.030401587E+00 3.365191333E-06 1.161211985E-03
 2.924682999E+01 1.031939864E+00 3.358491085E-06 1.158059342E-03
 2.924682999E+01 1.033525229E+00 3.351577561E-06 1.154807047E-03
 2.924682999E+01 1.035159469E+00 3.344442575E-06 1.151451143E-03
 2.924682999E+01 1.036844015E+00 3.337078851E-06 1.147988369E-03
 2.924682999E+01 1.038580537E+00 3.329478204E-06 1.144415000E-03
 2.924682999E+01 1.040371060E+00 3.321630402E-06 1.140726032E-03
 2.924682999E+01 1.042217255E+00 3.313525895E-06 1.136917272E-03
 2.924682999E+01 1.044121146E+00 3.305152859E-06 1.132982783E-03
 2.924682999E+01 1.046084523E+00 3.296500381E-06 1.128917327E-03
 2.924682999E+01 1.048109651E+00 3.287553909E-06 1.124714152E-03
 2.924682999E+01 1.050198555E+00 3.278300028E-06 1.120366855E-03
 2.924682999E+01 1.052353382E+00 3.268724413E-06 1.115868334E-03
 2.924682999E+01 1.054576278E+00 3.258812285E-06 1.111211488E-03
 2.924682999E+01 1.056869864E+00 3.248546818E-06 1.106388401E-03
 2.924682999E+01 1.059236288E+00 3.237913234E-06 1.101392088E-03
 2.924682999E+01 1.061678171E+00 3.226894250E-06 1.096214401E-03
 2.924682999E+01 1.064198136E+00 3.215473498E-06 1.090847421E-03
 2.924682999E+01 1.066798687E+00 3.203634151E-06 1.085283584E-03
 2.924682999E+01 1.069482565E+00 3.191359383E-06 1.079514739E-03
 2.924682999E+01 1.072252870E+00 3.178629868E-06 1.073532156E-03
 2.924682999E+01 1.075112343E+00 3.165428097E-06 1.067328034E-03
 2.924682999E+01 1.078064203E+00 3.151734518E-06 1.060893061E-03
 2.924682999E+01 1.081111312E+00 3.137530712E-06 1.054218970E-03
 2.924682999E+01 1.084257126E+00 3.122795306E-06 1.047296217E-03
 2.924682999E+01 1.087505102E+00 3.107506473E-06 1.040114905E-03
 2.924682999E+01 1.090858459E+00 3.091643293E-06 1.032665721E-03
 2.924682999E+01 1.094321012E+00 3.075180985E-06 1.024937606E-03
 2.924682999E+01 1.097896338E+00 3.058096354E-06 1.016920200E-03
 2.924682999E+01 1.101588488E+00 3.040362799E-06 1.008601859E-03
 2.924682999E+01 1.105401278E+00 3.021953944E-06 9.999709437E-04
 2.924682999E+01 1.109338760E+00 3.002842050E-06 9.910155786E-04
 2.924682999E+01 1.113405347E+00 2.982998012E-06 9.817229584E-04
 2.924682999E+01 1.117605448E+00 2.962391363E-06 9.720801027E-04
 2.924682999E+01 1.121943355E+00 2.940991635E-06 9.620741475E-04
 2.924682999E+01 1.126424074E+00 2.918764494E-06 9.516907739E-04
 2.924682999E+01 1.131052375E+00 2.895677198E-06 9.409163613E-04
 2.924682999E+01 1.135833144E+00 2.871695187E-06 9.297368815E-04
 2.924682999E+01 1.140771747E+00 2.846781399E-06 9.181374335E-04
 2.924682999E+01 1.145873427E+00 2.820899454E-06 9.061037563E-04
 2.924682999E+01 1.151143789E+00 2.794010697E-06 8.936209488E-04
 2.924682999E+01 1.156588554E+00 2.766075795E-06 8.806738770E-04
 2.924682999E+01 1.162213683E+00 2.737054274E-06 8.672478725E-04
 2.924682999E+01 1.168025374E+00 2.706904297E-06 8.533277432E-04
 2.924682999E+01 1.174029827E+00 2.675584028E-06 8.388991118E-04
 2.924682999E+01 1.180233836E+00 2.643049811E-06 8.239471354E-04
 2.924682999E+01 1.186643958E+00 2.609258672E-06 8.084583096E-04
 2.924682999E+01 1.193267107E+00 2.574166956E-06 7.924194215E-04
 2.924682999E+01 1.200110912E+00 2.537728733E-06 7.758167339E-04
 2.924682999E+01 1.207182527E+00 2.499901484E-06 7.586395368E-04
 2.924682999E+01 1.214489937E+00 2.460639507E-06 7.408765377E-04
 2.924682999E+01 1.222041011E+00 2.419900966E-06 7.225190056E-04
 2.924682999E+01 1.229843974E+00 2.377643796E-06 7.035598392E-04
 2.924682999E+01 1.237907529E+00 2.333827524E-06 6.839933922E-04
 2.924682999E+01 1.246240377E+00 2.288414180E-06 6.638169289E-04
 2.924682999E+01 1.254851818E+00 2.241368065E-06 6.430301000E-04
 2.924682999E+01 1.263751268E+00 2.192658030E-06 6.216362817E-04
 2.924683189E+01 1.272948623E+00 2.142256108E-06 5.996418768E-04
 2.924683189E+01 1.282453656E+00 2.090142289E-06 5.770585267E-04
 2.924683189E+01 1.292277098E+00 2.036300430E-06 5.539014237E-04
 2.924683189E+01 1.302429676E+00 1.980723027E-06 5.301915808E-04
 2.924683189E+01 1.312922716E+00 1.923410991E-06 5.059555406E-04
 2.924683189E+01 1.323767543E+00 1.864377055E-06 4.812266561E-04
 2.924683189E+01 1.334976077E+00 1.803644523E-06 4.560448870E-04
 2.924683189E+01 1.346561074E+00 1.741248866E-06 4.304569156E-04
 2.924683189E+01 1.358534694E+00 1.677245564E-06 4.045196692E-04
 2.924683189E+01 1.370910645E+00 1.611700554E-06 3.782957792E-04
 2.924683189E+01 1.383702397E+00 1.544702855E-06 3.518584417E-04
 2.924683189E+01 1.396924019E+00 1.476361945E-06 3.252898168E-04
 2.924683189E+01 1.410590172E+00 1.406808906E-06 2.986812033E-04
 2.924683189E+01 1.424715996E+00 1.336199716E-06 2.721334167E-04
 2.924683189E+01 1.439316869E+00 1.264718321E-06 2.457571391E-04
 2.924683189E+01 1.454409003E+00 1.192576519E-06 2.196718997E-04
 2.924683189E+01 1.470009208E+00 1.120016918E-06 1.940062502E-04
 2.924683189E+01 1.486134648E+00 1.047316459E-06 1.688976772E-04
 2.924683189E+01 1.502803087E+00 9.747899412E-07 1.444926165E-04
 2.924683189E+01 1.520033002E+00 9.027974670E-07 1.209471520E-04
 2.924683189E+01 1.537843466E+00 8.317591096E-07 9.842994041E-05
 2.924683189E+01 1.556254268E+00 7.621863460E-07 7.712891966E-05
 2.924683189E+01 1.575285554E+00 6.947593647E-07 5.726920426E-05
 2.924683189E+01 1.594958425E+00 6.305209013E-07 3.915634807E-05
 2.924683189E+01 1.615294933E+00 5.714375106E-07 2.329759991E-05
 2.924683189E+01 1.636317134E+00 5.219421837E-07 1.071723273E-05
 2.924683189E+01 1.658048749E+00 4.903130844E-07 3.067800435E-06
 2.924683189E+01 1.680513620E+00 4.787930834E-07 3.733808569E-07
 2.924683189E+01 1.703736663E+00 4.772684292E-07 1.784065695E-08
 2.924683380E+01 1.727743626E+00 4.772068678E-07 3.886411637E-09
 2.924683380E+01 1.752561212E+00 4.772027751E-07 3.524595060E-09
 2.924683380E+01 1.778216839E+00 4.772002171E-07 3.515829405E-09
 2.924683380E+01 1.804738879E+00 4.771977160E-07 3.515590929E-09
 2.924683380E+01 1.832156897E+00 4.771952149E-07 3.515547631E-09
 2.924683380E+01 1.860501170E+00 4.771927706E-07 3.515509217E-09
 2.924683380E+01 1.889803410E+00 4.771902695E-07 3.515471025E-09
 2.924683380E+01 1.920095921E+00 4.771878253E-07 3.515433278E-09
