VARIABLES = "x","u","y-y0"
 7.500000000E-01 6.991931200E-01 1.456037135E-04
 7.500000000E-01 7.027842999E-01 1.486137480E-04
 7.500000000E-01 7.063338757E-01 1.516796619E-04
 7.500000000E-01 7.098440528E-01 1.548126311E-04
 7.500000000E-01 7.133171558E-01 1.580052049E-04
 7.500000000E-01 7.167551517E-01 1.612611086E-04
 7.500000000E-01 7.201600671E-01 1.645840675E-04
 7.500000000E-01 7.235337496E-01 1.679740817E-04
 7.500000000E-01 7.268781066E-01 1.714311511E-04
 7.500000000E-01 7.301948071E-01 1.749590010E-04
 7.500000000E-01 7.334857583E-01 1.785576314E-04
 7.500000000E-01 7.367523313E-01 1.822307677E-04
 7.500000000E-01 7.399961352E-01 1.859746844E-04
 7.500000000E-01 7.432187796E-01 1.897968323E-04
 7.500000000E-01 7.464215159E-01 1.936972112E-04
 7.500000000E-01 7.496058345E-01 1.976720960E-04
 7.500000000E-01 7.527728677E-01 2.017326624E-04
 7.500000000E-01 7.559240460E-01 2.058714599E-04
 7.500000000E-01 7.590603828E-01 2.100959391E-04
 7.500000000E-01 7.621830106E-01 2.144023747E-04
 7.500000000E-01 7.652931213E-01 2.188019425E-04
 7.500000000E-01 7.683916688E-01 2.232871921E-04
 7.500000000E-01 7.714795470E-01 2.278618485E-04
 7.500000000E-01 7.745579481E-01 2.325296373E-04
 7.500000000E-01 7.776274681E-01 2.372942836E-04
 7.500000000E-01 7.806891203E-01 2.421557874E-04
 7.500000000E-01 7.837436795E-01 2.471141634E-04
 7.500000000E-01 7.867919207E-01 2.521731076E-04
 7.500000000E-01 7.898346186E-01 2.573326346E-04
 7.500000000E-01 7.928724289E-01 2.626001951E-04
 7.500000000E-01 7.959060073E-01 2.679720637E-04
 7.500000000E-01 7.989360690E-01 2.734556911E-04
 7.500000000E-01 8.019632101E-01 2.790473518E-04
 7.500000000E-01 8.049879670E-01 2.847544965E-04
 7.500000000E-01 8.080108762E-01 2.905771253E-04
 7.500000000E-01 8.110325933E-01 2.965189633E-04
 7.500000000E-01 8.140534759E-01 3.025800106E-04
 7.500000000E-01 8.170741200E-01 3.087639925E-04
 7.500000000E-01 8.200949430E-01 3.150746343E-04
 7.500000000E-01 8.231164217E-01 3.215119359E-04
 7.500000000E-01 8.261389136E-01 3.280796227E-04
 7.500000000E-01 8.291627169E-01 3.347814200E-04
 7.500000000E-01 8.321885467E-01 3.416210529E-04
 7.500000000E-01 8.352163434E-01 3.485985217E-04
 7.500000000E-01 8.382467031E-01 3.557175514E-04
 7.500000000E-01 8.412800431E-01 3.629818675E-04
 7.500000000E-01 8.443164229E-01 3.703951952E-04
 7.500000000E-01 8.473562002E-01 3.779575345E-04
 7.500000000E-01 8.503997922E-01 3.856726107E-04
 7.500000000E-01 8.534473181E-01 3.935478744E-04
 7.500000000E-01 8.564990759E-01 4.015796003E-04
 7.500000000E-01 8.595553041E-01 4.097752389E-04
 7.500000000E-01 8.626161814E-01 4.181385157E-04
 7.500000000E-01 8.656819463E-01 4.266731557E-04
 7.500000000E-01 8.687528372E-01 4.353791592E-04
 7.500000000E-01 8.718289733E-01 4.442639765E-04
 7.500000000E-01 8.749105930E-01 4.533276078E-04
 7.500000000E-01 8.779977560E-01 4.625775036E-04
 7.500000000E-01 8.810906410E-01 4.720136640E-04
 7.500000000E-01 8.841893673E-01 4.816435394E-04
 7.500000000E-01 8.872941732E-01 4.914671299E-04
 7.500000000E-01 8.904049397E-01 5.014918861E-04
 7.500000000E-01 8.935219646E-01 5.117215333E-04
 7.500000000E-01 8.966452479E-01 5.221597967E-04
 7.500000000E-01 8.997747898E-01 5.328104016E-04
 7.500000000E-01 9.029108286E-01 5.436733481E-04
 7.500000000E-01 9.060532451E-01 5.547635374E-04
 7.500000000E-01 9.092021585E-01 5.660772440E-04
 7.500000000E-01 9.123575687E-01 5.776181933E-04
 7.500000000E-01 9.155194759E-01 5.893975613E-04
 7.500000000E-01 9.186879396E-01 6.014153478E-04
 7.500000000E-01 9.218627810E-01 6.136790034E-04
 7.500000000E-01 9.250442386E-01 6.261922535E-04
 7.500000000E-01 9.282320142E-01 6.389588234E-04
 7.500000000E-01 9.314262867E-01 6.519861636E-04
 7.500000000E-01 9.346268177E-01 6.652779994E-04
 7.500000000E-01 9.378336072E-01 6.788380560E-04
 7.500000000E-01 9.410465360E-01 6.926775095E-04
 7.500000000E-01 9.442654252E-01 7.068000850E-04
 7.500000000E-01 9.474903345E-01 7.212057826E-04
 7.500000000E-01 9.507211447E-01 7.359095034E-04
 7.500000000E-01 9.539574981E-01 7.509112475E-04
 7.500000000E-01 9.571993947E-01 7.662147400E-04
 7.500000000E-01 9.604465961E-01 7.818348822E-04
 7.500000000E-01 9.636989832E-01 7.977716741E-04
 7.500000000E-01 9.669563174E-01 8.140288410E-04
 7.500000000E-01 9.702183008E-01 8.306212840E-04
 7.500000000E-01 9.734848738E-01 8.475527284E-04
 7.500000000E-01 9.767556190E-01 8.648268995E-04
 7.500000000E-01 9.800303578E-01 8.824512479E-04
 7.500000000E-01 9.833087325E-01 9.004369495E-04
 7.500000000E-01 9.865906239E-01 9.187877295E-04
 7.500000000E-01 9.898754954E-01 9.375147638E-04
 7.500000000E-01 9.931631684E-01 9.566217777E-04
 7.500000000E-01 9.964532852E-01 9.761162219E-04
 7.500000000E-01 9.997454882E-01 9.960092138E-04
 7.500000000E-01 1.003039241E+00 1.016304595E-03
 7.500000000E-01 1.006334305E+00 1.037017209E-03
 7.500000000E-01 1.009630203E+00 1.058150781E-03
 7.500000000E-01 1.012926579E+00 1.079712762E-03
 7.500000000E-01 1.016222835E+00 1.101718051E-03
 7.500000000E-01 1.019518733E+00 1.124166651E-03
 7.500000000E-01 1.022813559E+00 1.147073461E-03
 7.500000000E-01 1.026106834E+00 1.170449657E-03
 7.500000000E-01 1.029398203E+00 1.194298966E-03
 7.500000000E-01 1.032686949E+00 1.218636287E-03
 7.500000000E-01 1.035972476E+00 1.243469073E-03
 7.500000000E-01 1.039254546E+00 1.268808497E-03
 7.500000000E-01 1.042532206E+00 1.294662012E-03
 7.500000000E-01 1.045805097E+00 1.321040792E-03
 7.500000000E-01 1.049072385E+00 1.347959740E-03
 7.500000000E-01 1.052333474E+00 1.375426305E-03
 7.500000000E-01 1.055587888E+00 1.403451664E-03
 7.500000000E-01 1.058834910E+00 1.432050718E-03
 7.500000000E-01 1.062073708E+00 1.461227192E-03
 7.500000000E-01 1.065303683E+00 1.491003437E-03
 7.500000000E-01 1.068524122E+00 1.521383179E-03
 7.500000000E-01 1.071734428E+00 1.552381320E-03
 7.500000000E-01 1.074933648E+00 1.584012760E-03
 7.500000000E-01 1.078121185E+00 1.616288675E-03
 7.500000000E-01 1.081296325E+00 1.649220241E-03
 7.500000000E-01 1.084458351E+00 1.682822360E-03
 7.500000000E-01 1.087606311E+00 1.717109932E-03
 7.500000000E-01 1.090739608E+00 1.752097858E-03
 7.500000000E-01 1.093857527E+00 1.787797315E-03
 7.500000000E-01 1.096959233E+00 1.824223204E-03
 7.500000000E-01 1.100044012E+00 1.861390425E-03
 7.500000000E-01 1.103111029E+00 1.899313880E-03
 7.500000000E-01 1.106159687E+00 1.938012196E-03
 7.500000000E-01 1.109189034E+00 1.977500273E-03
 7.500000000E-01 1.112198591E+00 2.017789287E-03
 7.500000000E-01 1.115187526E+00 2.058901591E-03
 7.500000000E-01 1.118155241E+00 2.100852085E-03
 7.500000000E-01 1.121100903E+00 2.143655671E-03
 7.500000000E-01 1.124023795E+00 2.187330974E-03
 7.500000000E-01 1.126923561E+00 2.231892897E-03
 7.500000000E-01 1.129799485E+00 2.277367515E-03
 7.500000000E-01 1.132650733E+00 2.323766006E-03
 7.500000000E-01 1.135477066E+00 2.371110721E-03
 7.500000000E-01 1.138277769E+00 2.419420285E-03
 7.500000000E-01 1.141052365E+00 2.468713326E-03
 7.500000000E-01 1.143800378E+00 2.519012196E-03
 7.500000000E-01 1.146521568E+00 2.570335520E-03
 7.500000000E-01 1.149215221E+00 2.622701926E-03
 7.500000000E-01 1.151881337E+00 2.676137490E-03
 7.500000000E-01 1.154519200E+00 2.730660839E-03
 7.500000000E-01 1.157128930E+00 2.786294324E-03
 7.500000000E-01 1.159710288E+00 2.843060298E-03
 7.500000000E-01 1.162262917E+00 2.900984837E-03
 7.500000000E-01 1.164786816E+00 2.960086567E-03
 7.500000000E-01 1.167281747E+00 3.020395292E-03
 7.500000000E-01 1.169747710E+00 3.081933362E-03
 7.500000000E-01 1.172184944E+00 3.144723130E-03
 7.500000000E-01 1.174593329E+00 3.208790673E-03
 7.500000000E-01 1.176973224E+00 3.274165792E-03
 7.500000000E-01 1.179324389E+00 3.340874566E-03
 7.500000000E-01 1.181647301E+00 3.408939345E-03
 7.500000000E-01 1.183942199E+00 3.478389932E-03
 7.500000000E-01 1.186209202E+00 3.549256129E-03
 7.500000000E-01 1.188449025E+00 3.621567739E-03
 7.500000000E-01 1.190661430E+00 3.695350839E-03
 7.500000000E-01 1.192847252E+00 3.770638956E-03
 7.500000000E-01 1.195006967E+00 3.847458167E-03
 7.500000000E-01 1.197140694E+00 3.925845958E-03
 7.500000000E-01 1.199249268E+00 4.005827941E-03
 7.500000000E-01 1.201332927E+00 4.087441601E-03
 7.500000000E-01 1.203392148E+00 4.170713015E-03
 7.500000000E-01 1.205427766E+00 4.255686887E-03
 7.500000000E-01 1.207440019E+00 4.342389293E-03
 7.500000000E-01 1.209429502E+00 4.430857487E-03
 7.500000000E-01 1.211396813E+00 4.521128722E-03
 7.500000000E-01 1.213342428E+00 4.613240249E-03
 7.500000000E-01 1.215266824E+00 4.707225598E-03
 7.500000000E-01 1.217170358E+00 4.803125747E-03
 7.500000000E-01 1.219053626E+00 4.900981672E-03
 7.500000000E-01 1.220916867E+00 5.000830628E-03
 7.500000000E-01 1.222760797E+00 5.102713592E-03
 7.500000000E-01 1.224585176E+00 5.206671543E-03
 7.500000000E-01 1.226390719E+00 5.312749185E-03
 7.500000000E-01 1.228177309E+00 5.420987494E-03
 7.500000000E-01 1.229945183E+00 5.531431176E-03
 7.500000000E-01 1.231694460E+00 5.644121207E-03
 7.500000000E-01 1.233424902E+00 5.759109743E-03
 7.500000000E-01 1.235136509E+00 5.876441486E-03
 7.500000000E-01 1.236828923E+00 5.996164866E-03
 7.500000000E-01 1.238501787E+00 6.118324585E-03
 7.500000000E-01 1.240154743E+00 6.242972799E-03
 7.500000000E-01 1.241786957E+00 6.370161660E-03
 7.500000000E-01 1.243397713E+00 6.499943323E-03
 7.500000000E-01 1.244986176E+00 6.632366218E-03
 7.500000000E-01 1.246550918E+00 6.767489947E-03
 7.500000000E-01 1.248090982E+00 6.905362941E-03
 7.500000000E-01 1.249604464E+00 7.046048529E-03
 7.500000000E-01 1.251089692E+00 7.189598866E-03
 7.500000000E-01 1.252544522E+00 7.336073555E-03
 7.500000000E-01 1.253966928E+00 7.485532202E-03
 7.500000000E-01 1.255353808E+00 7.638034411E-03
 7.500000000E-01 1.256702423E+00 7.793643512E-03
 7.500000000E-01 1.258009434E+00 7.952426560E-03
 7.500000000E-01 1.259270906E+00 8.114439435E-03
 7.500000000E-01 1.260482669E+00 8.279756643E-03
 7.500000000E-01 1.261640429E+00 8.448441513E-03
 7.500000000E-01 1.262738466E+00 8.620561101E-03
 7.500000000E-01 1.263771296E+00 8.796186186E-03
 7.500000000E-01 1.264732242E+00 8.975395001E-03
 7.500000000E-01 1.265614390E+00 9.158250876E-03
 7.500000000E-01 1.266409278E+00 9.344832040E-03
 7.500000000E-01 1.267108440E+00 9.535213001E-03
 7.500000000E-01 1.267701626E+00 9.729475714E-03
 7.500000000E-01 1.268177867E+00 9.927694686E-03
 7.500000000E-01 1.268525481E+00 1.012995187E-02
 7.500000000E-01 1.268732309E+00 1.033632923E-02
 7.500000000E-01 1.268785477E+00 1.054691244E-02
 7.500000000E-01 1.268672347E+00 1.076178346E-02
 7.500000000E-01 1.268379211E+00 1.098103542E-02
 7.500000000E-01 1.267890930E+00 1.120475028E-02
 7.500000000E-01 1.267194867E+00 1.143302489E-02
 7.500000000E-01 1.266319036E+00 1.166595239E-02
 7.500000000E-01 1.265398860E+00 1.190362219E-02
 7.500000000E-01 1.264582515E+00 1.214613486E-02
 7.500000000E-01 1.263874650E+00 1.239358727E-02
 7.500000000E-01 1.263206720E+00 1.264608372E-02
 7.500000000E-01 1.262541771E+00 1.290372480E-02
 7.500000000E-01 1.261869311E+00 1.316661108E-02
 7.500000000E-01 1.261186600E+00 1.343485434E-02
 7.500000000E-01 1.260493040E+00 1.370855886E-02
 7.500000000E-01 1.259788156E+00 1.398784388E-02
 7.500000000E-01 1.259071827E+00 1.427282114E-02
 7.500000000E-01 1.258343816E+00 1.456360240E-02
 7.500000000E-01 1.257604122E+00 1.486030687E-02
 7.500000000E-01 1.256852508E+00 1.516305376E-02
 7.500000000E-01 1.256088972E+00 1.547196973E-02
 7.500000000E-01 1.255313158E+00 1.578718051E-02
 7.500000000E-01 1.254524946E+00 1.610881463E-02
 7.500000000E-01 1.253724456E+00 1.643699780E-02
 7.500000000E-01 1.252911448E+00 1.677187160E-02
 7.500000000E-01 1.252085805E+00 1.711356267E-02
 7.500000000E-01 1.251247287E+00 1.746221259E-02
 7.500000000E-01 1.250395775E+00 1.781797037E-02
 7.500000000E-01 1.249531507E+00 1.818097755E-02
 7.500000000E-01 1.248653889E+00 1.855138317E-02
 7.500000000E-01 1.247763038E+00 1.892932877E-02
 7.500000000E-01 1.246858835E+00 1.931497827E-02
 7.500000000E-01 1.245941162E+00 1.970848069E-02
 7.500000000E-01 1.245009780E+00 2.010999992E-02
 7.500000000E-01 1.244064689E+00 2.051969990E-02
 7.500000000E-01 1.243105888E+00 2.093774453E-02
 7.500000000E-01 1.242133141E+00 2.136431262E-02
 7.500000000E-01 1.241146326E+00 2.179956809E-02
 7.500000000E-01 1.240145564E+00 2.224368975E-02
 7.500000000E-01 1.239130497E+00 2.269686386E-02
 7.500000000E-01 1.238101125E+00 2.315926179E-02
 7.500000000E-01 1.237057328E+00 2.363108471E-02
 7.500000000E-01 1.235999227E+00 2.411251888E-02
 7.500000000E-01 1.234926462E+00 2.460376546E-02
 7.500000000E-01 1.233839154E+00 2.510501817E-02
 7.500000000E-01 1.232737184E+00 2.561648563E-02
 7.500000000E-01 1.231620550E+00 2.613836899E-02
 7.500000000E-01 1.230489016E+00 2.667088434E-02
 7.500000000E-01 1.229342699E+00 2.721424773E-02
 7.500000000E-01 1.228181601E+00 2.776868269E-02
 7.500000000E-01 1.227005482E+00 2.833441272E-02
 7.500000000E-01 1.225814342E+00 2.891167626E-02
 7.500000000E-01 1.224608302E+00 2.950068936E-02
 7.500000000E-01 1.223387122E+00 3.010170534E-02
 7.500000000E-01 1.222151041E+00 3.071497008E-02
 7.500000000E-01 1.220899940E+00 3.134072199E-02
 7.500000000E-01 1.219633698E+00 3.197922930E-02
 7.500000000E-01 1.218352437E+00 3.263073787E-02
 7.500000000E-01 1.217056155E+00 3.329552338E-02
 7.500000000E-01 1.215744972E+00 3.397385404E-02
 7.500000000E-01 1.214418530E+00 3.466600552E-02
 7.500000000E-01 1.213077307E+00 3.537225351E-02
 7.500000000E-01 1.211721182E+00 3.609288856E-02
 7.500000000E-01 1.210350275E+00 3.682820871E-02
 7.500000000E-01 1.208964348E+00 3.757851198E-02
 7.500000000E-01 1.207563758E+00 3.834409639E-02
 7.500000000E-01 1.206148505E+00 3.912528232E-02
 7.500000000E-01 1.204718709E+00 3.992238268E-02
 7.500000000E-01 1.203274369E+00 4.073571786E-02
 7.500000000E-01 1.201815605E+00 4.156563058E-02
 7.500000000E-01 1.200342655E+00 4.241244122E-02
 7.500000000E-01 1.198855400E+00 4.327650741E-02
 7.500000000E-01 1.197354198E+00 4.415817931E-02
 7.500000000E-01 1.195839167E+00 4.505781457E-02
 7.500000000E-01 1.194310308E+00 4.597577825E-02
 7.500000000E-01 1.192767978E+00 4.691244289E-02
 7.500000000E-01 1.191212058E+00 4.786818847E-02
 7.500000000E-01 1.189642906E+00 4.884340242E-02
 7.500000000E-01 1.188060880E+00 4.983849451E-02
 7.500000000E-01 1.186465859E+00 5.085385218E-02
 7.500000000E-01 1.184858322E+00 5.188989267E-02
 7.500000000E-01 1.183238268E+00 5.294704810E-02
 7.500000000E-01 1.181606174E+00 5.402573571E-02
 7.500000000E-01 1.179962039E+00 5.512640253E-02
 7.500000000E-01 1.178306222E+00 5.624948815E-02
 7.500000000E-01 1.176639199E+00 5.739546195E-02
 7.500000000E-01 1.174960852E+00 5.856477842E-02
 7.500000000E-01 1.173271656E+00 5.975791439E-02
 7.500000000E-01 1.171571970E+00 6.097536162E-02
 7.500000000E-01 1.169862032E+00 6.221761182E-02
 7.500000000E-01 1.168142319E+00 6.348517537E-02
 7.500000000E-01 1.166412830E+00 6.477855146E-02
 7.500000000E-01 1.164674163E+00 6.609828770E-02
 7.500000000E-01 1.162926674E+00 6.744490564E-02
 7.500000000E-01 1.161170721E+00 6.881895661E-02
 7.500000000E-01 1.159406424E+00 7.022100687E-02
 7.500000000E-01 1.157634377E+00 7.165161520E-02
 7.500000000E-01 1.155855179E+00 7.311137766E-02
 7.500000000E-01 1.154068947E+00 7.460086793E-02
 7.500000000E-01 1.152276039E+00 7.612071931E-02
 7.500000000E-01 1.150477052E+00 7.767151296E-02
 7.500000000E-01 1.148672342E+00 7.925391197E-02
 7.500000000E-01 1.146862507E+00 8.086855710E-02
 7.500000000E-01 1.145047784E+00 8.251608908E-02
 7.500000000E-01 1.143228650E+00 8.419719338E-02
 7.500000000E-01 1.141405702E+00 8.591254056E-02
 7.500000000E-01 1.139579296E+00 8.766283095E-02
 7.500000000E-01 1.137750030E+00 8.944877982E-02
 7.500000000E-01 1.135918379E+00 9.127111733E-02
 7.500000000E-01 1.134084582E+00 9.313058853E-02
 7.500000000E-01 1.132249475E+00 9.502793849E-02
 7.500000000E-01 1.130413532E+00 9.696392715E-02
 7.500000000E-01 1.128577113E+00 9.893937409E-02
 7.500000000E-01 1.126740694E+00 1.009550691E-01
 7.500000000E-01 1.124905109E+00 1.030118167E-01
 7.500000000E-01 1.123070359E+00 1.051104814E-01
 7.500000000E-01 1.121237636E+00 1.072518975E-01
 7.500000000E-01 1.119406939E+00 1.094369292E-01
 7.500000000E-01 1.117578983E+00 1.116664857E-01
 7.500000000E-01 1.115754485E+00 1.139414757E-01
 7.500000000E-01 1.113933682E+00 1.162627935E-01
 7.500000000E-01 1.112117171E+00 1.186314225E-01
 7.500000000E-01 1.110305786E+00 1.210482866E-01
 7.500000000E-01 1.108499765E+00 1.235143989E-01
 7.500000000E-01 1.106699705E+00 1.260307580E-01
 7.500000000E-01 1.104906201E+00 1.285983771E-01
 7.500000000E-01 1.103119850E+00 1.312183142E-01
 7.500000000E-01 1.101341009E+00 1.338916272E-01
 7.500000000E-01 1.099570513E+00 1.366193891E-01
 7.500000000E-01 1.097808480E+00 1.394027323E-01
 7.500000000E-01 1.096055627E+00 1.422427893E-01
 7.500000000E-01 1.094312549E+00 1.451406926E-01
 7.500000000E-01 1.092579842E+00 1.480976492E-01
 7.500000000E-01 1.090857744E+00 1.511148363E-01
 7.500000000E-01 1.089146852E+00 1.541934907E-01
 7.500000000E-01 1.087447762E+00 1.573348790E-01
 7.500000000E-01 1.085760832E+00 1.605402529E-01
 7.500000000E-01 1.084086657E+00 1.638109386E-01
 7.500000000E-01 1.082425594E+00 1.671482474E-01
 7.500000000E-01 1.080778122E+00 1.705535650E-01
 7.500000000E-01 1.079144835E+00 1.740282476E-01
 7.500000000E-01 1.077525854E+00 1.775737107E-01
 7.500000000E-01 1.075922012E+00 1.811914295E-01
 7.500000000E-01 1.074333429E+00 1.848828346E-01
 7.500000000E-01 1.072760582E+00 1.886494458E-01
 7.500000000E-01 1.071203709E+00 1.924927980E-01
 7.500000000E-01 1.069663525E+00 1.964144409E-01
 7.500000000E-01 1.068140149E+00 2.004159838E-01
 7.500000000E-01 1.066634059E+00 2.044990510E-01
 7.500000000E-01 1.065145493E+00 2.086653262E-01
 7.500000000E-01 1.063674688E+00 2.129164487E-01
 7.500000000E-01 1.062222123E+00 2.172542065E-01
 7.500000000E-01 1.060787916E+00 2.216802984E-01
 7.500000000E-01 1.059372425E+00 2.261966020E-01
 7.500000000E-01 1.057976127E+00 2.308049053E-01
 7.500000000E-01 1.056598902E+00 2.355070859E-01
 7.500000000E-01 1.055241108E+00 2.403050512E-01
 7.500000000E-01 1.053902984E+00 2.452007979E-01
 7.500000000E-01 1.052584529E+00 2.501962483E-01
 7.500000000E-01 1.051286221E+00 2.552934885E-01
 7.500000000E-01 1.050008059E+00 2.604945600E-01
 7.500000000E-01 1.048750281E+00 2.658016384E-01
 7.500000000E-01 1.047512770E+00 2.712168097E-01
 7.500000000E-01 1.046295762E+00 2.767422795E-01
